,sentence,cat
50,I ordered a size 9 and got a size 6.,1.0
51,I don't know anyone who wears that size.,1.0
52,So I am stuck with them,-1.0
53,Item that was received was not at all as pictured.,3.0
54,Defiantly not as seen in Doctor Who.,-1.0
55,"I ordered an XL because I wanted it to fit a little loose, can't even get it over my shoulders.",1.0
56,I'm not a big person I wear between a 12 and 14 this fits my friend who is a size 4!!,1.0
57,"No good quality at all, i had ordered this for my daughter thinking it woudent tarnished, well not even 2 weeks after receiving it it already changed colors, worst is she gave out the 5 others to here friends, i feel so ashamed .... :/",3.0
58,Poorly made  cut small picture doesn't remotly look like the product.,3.0
59,Very disappointed  can you give a negative number of stars?,-1.0
60,Received the package today but NO watch was found inside the box.,-1.0
61,"The box shown with a ""Rolex"" picture not the smart watch.",-1.0
62,I STRONGLY DO NOT RECOMMEND!!!!,-1.0
63,I would not do business with this company again.,-1.0
64,Worst size labeled shirt ive ever bought off line.,1.0
65,Ordered a XL and i put it next to my wifes small shirt and there was barely a difference.,1.0
66,If you wear a XL buy a XXXL.,1.0
67,I ordered a size medium and it won't even fit my 13 year old grand daughter it is so small.,1.0
68,Instead of being a size 6/8 it is more like a size 0/1,1.0
69,Received purse and outside pocket missing piece to be able to zip closed purse also has horrible smell not a new purse smell,3.0
70,size is too small,1.0
71,the hat came off white and its ribbed looking material.,3.0
72,Total scam and its not even worth trying to ship back to China for a return.,-1.0
73,It looks nothing like the picture.,-1.0
74,They are poor quality and skew the world.,3.0
75,Who needs that headache.,-1.0
76,The loops you tuck the band in to snapped within 1 week.,-1.0
77,After reading the reviews I was expecting much more firm support in the midsection.,-1.0
78,The material is soft and stretchy.,3.0
79,Not like other wraps on market such as The Belly Bandit.,-1.0
80,It didn't help eliminate post surgery pain like the Bandit either..,-1.0
81,If you're looking to tighten your core areas postpartum; you'll need something tougher.,-1.0
82,This product I wore under my wrap for additional support.,3.0
83,It's comfy and soft.,3.0
84,Could be great at bedtime.,3.0
85,The chain broke off from me just taking the tape off of the necklace itself.... seriously ?,3.0
86,Very disappointed in this dress as it was either sewn incorrectly in the back or just not made right.,3.0
87,I ended up not wearing it at all.,-1.0
88,I was not happy as this is the only dress that I have ever purchased from Amazon that I did not like.,-1.0
89,"The shirt did not meet my expectations because it was dirty, wrinkled and had a red pen mark across the front.",3.0
90,"Ordered according to size chart listed in description of XL for 32"" bust, but this is more like 42"".",1.0
91,"Also, the fabric in front is only connected at center of bust, which I didn't notice in the pics displayed.",3.0
92,These are much cheaper looking and feeling than the picture.,3.0
93,"The star isn't as pointed and it isn't a jewel, it looks like some really cheap green paint.",3.0
94,Watch hands broke after the first day.,3.0
95,"Do not waste your money unless you want a long sleeve (not 3/4 as shown), tight (even though I ordered a size up) and wildly inappropriate fabric choice, shirt.",3.0
96,"The sleeves are made from a thin, cheap swimsuit-like fabric.",3.0
97,This skirt is horrendous.,-1.0
98,"I read the reviews and thought ""Wow, what a great price for a well rated skirt"" and bought it hoping for the best.",-1.0
99,I cannot stress how horrendous this skirt is.,-1.0
100,"I do not srw, and I could have sewed a better skirt with my dominant hand behind my back.",3.0
101,"The elastic waistband it about 2"" wide and the fabric that is sewn around it is uneven and sloppy.",3.0
102,"One reviewer said that she had to wear a belt because the waistband was ""odd"".",3.0
103,The waistband is terrible and the only answer is to purchase another skirt.,3.0
104,I don't even know if I can salvage this for a family gathering.,-1.0
105,"In Addition to the attrocious handiwork, the fabric is very thin.",3.0
106,The width is appropriate fitting.,3.0
107,"I'm ,5'7"" and 135lbs.",-1.0
108,"I ordered a medium hoping that the skirt could truly be worn ""high waisted, but if your measurements are similar to mine don't count on it, unless you prefer the skirt to be about 3"" above your ankles.",-1.0
109,Do not purchase this item.,-1.0
110,The set came and I'm so disappointed on all levels.,-1.0
111,The size chart given is way off!,1.0
112,The one I ordered look like it could fit a 3-4 year old.,1.0
113,"However, if you put it on them it's too grown.",-1.0
114,"Contact seller, they gave me a credit of $1.25 

This seller must be from China and need to update the size chart so people can order the correct size.",1.0
115,Painted part wore off after the 3rd wash.,-1.0
116,"I absolutely HATE this ""dress""!",-1.0
117,Not only is it too small (I ordered a size medium and it fits like a size extra small) but I had to have help removing the dress because it it sooo uncomfortably small in the chest area.,1.0
118,There are no zippers or buttons so it's just on when it's on.,3.0
119,There is NO room at the top to move and it literally sucks in your chest.,3.0
120,I am a B cup so it's not like I have huge boobs that would ever cause that.,1.0
121,"I am going to see if it fits my eight year old daughter when I get home and, if it doesn't, then I'll try to return it.",-1.0
122,I was hoping to get a quality piece but this sizing it ridiculous!,3.0
123,I have ordered pieces that have come in from China so I knew to order a size larger but this is crazy!,1.0
124,I would try it on again just to take a picture but I don't want to chase tearing it or getting stuck.,-1.0
125,The dress does look exactly like this but its made for a Barbie doll...So mad about the sizes.,1.0
126,I ordered this plenty big and yet it might not even fit my 11 year old daughter...what an epic fail!,1.0
127,Bad quality it's polyester ugh !,3.0
128,cheap looking to tinny,1.0
129,This was not true to size,1.0
130,"I returned it and have yet to get my money back I ordered a size bigger , received it did not like how it fit and returned it got my money back for that one but not this one!",1.0
131,"About 3 sizes bigger than the listed size, I could've fit another person inside it with me, for the price the quality wasn't bad, but I wouldn't recommend it based on the mis-sizing.",1.0
132,Look really cheap and it's not shinny how look in the picture.,3.0
133,It's more like dark gray almost black.,2.0
134,If I could give it less I would....when I ordered this I knew it would be shear but this is not at all what I had expected and I had got it for my anniversary outfit but guess I won't be wearing it...should have known better but I took the chance I'm 5'6 and it's short doesn't even reach my ankles so not happy at all don't even like the design of the dress doesn't hang right and I bought bigger then my normal and it's too tight in places I don't need it to be and I can't pull it down without showing my chest not satisfied but I know I can't return it so it's going in the goodwill pile,-1.0
135,"I ordered this product, but I received a paper hat.",-1.0
136,Not happy at all waste of money,-1.0
137,The fit is much smaller than expected.,1.0
138,The material is scratchy and the seams are already breaking apart.,3.0
139,This item is NOT sized correctly.,1.0
140,"It's a great skirt, material is nice, flowy and cool.",3.0
141,Cute swimsuit but it's unwearable even having ordered XXL when I'm normally about a Medium/Large in swimsuit sizes.,1.0
142,"It would've fit me if it was 1-2 sizes bigger, maybe XXXL?",1.0
143,"I'm 140 lbs & it's made for someone shorter than 5'6 & like everyone said, the top part is very narrow & tiny in general, & wouldn't fit a 36C.",1.0
144,"Would add a photo example, but it's kind of embarrassing considering how funny & tiny it looks.",-1.0
145,Material is stretchy and a very faded purple.,3.0
146,The suits were ordered for 2 and 3 yr olds.,-1.0
147,"The advertising was not at all correct for,sizing.",1.0
148,Small was for 2 to 4 yr olds.,1.0
149,"What a terrible,waste of time..",-1.0
150,Cost a lot to send back as well.,-1.0
151,"Very disappointed in this,purchase",-1.0
152,3x is about a size 16.,1.0
153,Super cute but too small to pull over hips.,3.0
154,Doesn't have much stretch.,-1.0
155,Wish it would fit.,-1.0
156,Not sending I back because I hope to find someone to gift it to.,-1.0
157,The product was not the same as the picture,3.0
158,2 shirts in the same size but different colors.,2.0
159,Item does not look like it was posted.,-1.0
160,Very cheap material and it does not fit right.,3.0
161,Shirt is fake .,-1.0
162,Screen printing is poor and shirt is thin,3.0
163,Cheap and see through material.,3.0
164,i ordered it when the picture was the one i posted.,-1.0
165,"False advertising, it doesnt look anything like the picture.",3.0
166,I understand that this bag was cheap but NOWHERE in the description did it say it was going to be GREEN LINING / INSIDE.,3.0
167,Item not as described,-1.0
168,This product does not even deserve one star to be completely honest.,-1.0
169,Very disappointed in the effort of the making for this..,-1.0
170,So many things wrong I could go on for days.,-1.0
171,Not even the right colors and awful stitching..,2.0
172,This is girls sizing not adult womens.,1.0
173,YOU ARE RESPONSIBLE FOR SHIPPING THIS BACK TO CHINA.,-1.0
181,"The
 Hat was wrinkled upon arrival and the ribbon around the hat was ripped off.",3.0
182,I returned this top!,-1.0
183,The material was real cheap and see through!,3.0
184,Did not fit as expected!,1.0
185,Buy at least one size up if you are going to order!,1.0
186,"BAD QUALITE - ALL TRIMM HAVE STRANDS HANGING ALL OVER> LACE IS  NO EVEN, LOOK LIKE DEMAGED.BAD SEWING JOB DO NOT BUYED",3.0
187,Broke after 2 days!,3.0
188,Broke in half after wearing it on my bracelet 5 times.,3.0
189,"FOR ME, FIT WAS GOOD BUT PRODUCT is CHEAP CHEAP CHEAP..everything FELL apart before first wash..PLEASE do not waste your  money, honeys!",-1.0
190,Viene la tela rota,-1.0
191,"Good seller who refunded immediately.....but it was dirty beige VINYL.....not leather, with neon orange cheap toggle flowers.",2.0
192,"This is stretchy tshirt/pijama material, and the white is absolutely see through.. Beautiful design , cheap material.",3.0
193,I guess its what youd expect for $20 ..,-1.0
194,"It feels like felt, I am usually a medium and bought an xtra large due to size chart...",1.0
195,It was still small in the arms when reaching.,1.0
196,(Tight around the back) It also didn't come with a tie.,1.0
197,I waited too long to return and missed my window to do so otherwise I would be returning it.,-1.0
198,the dress runs small I am a 5-6 maybe a large or extra large would have fit,-1.0
199,"Poor quality, he logo is faded... ordered item 8/26 received item on 10/15.",3.0
200,Just a terrible fit.,3.0
201,difficult to insert into ear.,-1.0
202,The zipper broke the first time I opened it,3.0
203,I am small framed and order a small but the  small was too small,1.0
204,We returned this product because it had a strong chemical smell.,-1.0
205,It was so strong that my daughter was uncomfortable trying it on.,3.0
206,Arrived about 4 sizes smaller than listed.,1.0
207,Thankfully it was cheap and the cat looked funny in it,-1.0
208,Broke upon first touching it.,3.0
209,Started chipping right away.,-1.0
210,Can't even read it anymore.,-1.0
211,Bottom broke off and won't stay properly,3.0
212,My daughter saved her money and bought this dress.,-1.0
213,It arrived WEEKS later and has absolutely no stretch at all.,0.0
214,She can't even wear it.,1.0
215,The entire thing arrived so nasty looking and wrinkled.,3.0
216,SUPER BUMMED with this purchase.,-1.0
217,Received something other than what is shown in listing.,-1.0
218,Broke within first day of use,3.0
219,The sizing ran way smaller than normal for a men's medium.,1.0
220,"I give no stars for this top, very disappointed, poor quality, poor cut even the color is poor, I got a peach top instead of orange!!",3.0
221,This must have come from Asia!!!,-1.0
222,"These pants in an X large would not have fit any , I gave them to my friend who is very small and they didn't even fit her",1.0
223,DO NOT buy this for your Harley Quinn Suicide Squad costume.,-1.0
224,I could not even get it up over my knees to try it on.,-1.0
225,The sequins snagged and TORE my brand new fishnets and the sequins fell all over the floor.,-1.0
226,Could barely get it off it just sticks to anything.,-1.0
227,Runs too small and it is radically shorter than the picture.,0.0
228,I ordered a 3x because I read other comments that it ran small.,1.0
229,"It doesn't just run, it's extremely small.",1.0
230,I gave it to my 10 year old daughter and it looks cute on her.,-1.0
231,Fabric is cheap and thin.,3.0
232,You can see through the dress.,-1.0
233,Zipper is very hard to use.,3.0
234,You can get better quality at Walmart.,3.0
235,Save your money and don't buy the chiffon with the lace looking top.,-1.0
236,I ordered a 2XL and it fit like a XL very tight.,1.0
237,If you Order get a size bigger,1.0
238,"It was too small and the quality is poor,  but is cheap I can't be that picky.",3.0
239,Expect cheap & gaudy!,-1.0
240,The photo doesn't show how incredibly cheap this item really is!,3.0
241,The gold is so bright it looks plastic!,3.0
242,This is definitly a dollar store item & to think they have it priced over $5 is a rip-off!,-1.0
243,I really feel like I got duped on this purchase!!!,-1.0
244,"I'll try to return it, but China returns are impossible at best!",-1.0
245,Then crystal is nice and large but the metal is too weak to hold them.,3.0
246,They fell off before I could wear them.,-1.0
247,The look would be great but you need to secure the crystal somehow.,3.0
248,Zipper is so weak.,3.0
249,This is not good and easily broke waste of money,3.0
250,This is not what was advertised.,-1.0
251,It did have 6 slots.,-1.0
252,Don't know what everyone else received but I got a piece of ----.,-1.0
253,But not worth a $1.50.,-1.0
254,I didn't expect much out of this dress but I at least expected to be able to wear it.,-1.0
255,"Very cheaply made, runs way too small.",3.0
256,I wouldn't recommend it.,-1.0
257,The dress might have hit me mid calf.,-1.0
258,"I'm 5'7, wouldn't say I'm overly tall.",1.0
259,Didn't even fit around my small child's neck.,1.0
260,"I ordered XXXL and can't even pass my arm in the sleeve , the chest should be 47 ..  main is 40 and not close this is a joke .. the material is tin, the fur is white .. garbage",1.0
261,the color and fabric is beautiful!,2.0
262,but WAY TOO SMALL!,1.0
263,Trust the reviews on this one or you will waste time!,-1.0
264,Hardly stuck to anything,-1.0
265,"Poor quality & fabric, I ordered XL size and I received XS size.",3.0
266,"Apparently, Asian XL is American XS...disappointing",1.0
267,Poor quality for Eileen Fisher.,3.0
268,Shirt is short and too boxy which does not look flattering.,3.0
269,I wear a lot of Eileen Fisher and I was disappointed in this shirt.,3.0
270,I am returning it.,-1.0
271,The fabric is completely different from what the Picture shows.,3.0
272,It was not true to size at all i couldn't even wear it too small!!,2.0
273,It stops all the time no matter how much it is wound up.,-1.0
274,Don't buy this junk.,-1.0
275,I tryed it on but don't fit,1.0
276,This product is nothing like shown....false advertisements are what keeps this business going...will never order from them again...as soon as I tried it on I took it right off.,-1.0
277,Wish I didn't have to give any stars,-1.0
278,HORRENDOUS WILL BE RETURNING IMMEDIATELY.,-1.0
279,It smells like mold and there are pulls in the cheap ass fabric.,3.0
280,Absolutely nothing like the picture and it literally stunk up my whole room upon opening.,-1.0
281,DO NOT ORDER FROM THIS COMPANY,-1.0
282,"When it arrived it had such a very strong chemical smell that I could not get rid of, so I donated it.",3.0
283,NEVER was able to wear it.,-1.0
284,very sad a size 8 fits like a size 12,1.0
285,Fit is small and the material is cheap.,1.0
286,Way too big and no draw string!,1.0
287,AWFUL DO NOT BUY!!!,-1.0
288,NOTHING LIKE THE PICTURE!,-1.0
289,"Poor quality, poor stitching... Makes you wonder what people deem as excellent.",3.0
290,This outfit is so cheap I use the top to sleep in and I wear the skirt around the house to do household chores...,3.0
291,The xl/xxl size hat fits no differently than any other l/xl hat.,1.0
292,Again it's too bad companies don't realize we are not all the same size people !,1.0
293,"If you're thinking of buying this top and you're an American plus size, forget it.",1.0
294,"This is the strangest sizing I've ever seen, for a petite person.",1.0
295,I didn't know petite people wore XXXXL??,1.0
296,I didn't notice the measurements are in cm not inches.,1.0
297,"I bought it thinking it would be loose like they described and saw the measurements, but didn't see cm.",3.0
298,It is so small I couldn't even get it over my head.,1.0
299,These foreign companies selling to Americans need to state these are Asian sizes and run small and measure clothing in inches if you're selling to America.,1.0
300,We don't use cm for clothing.,1.0
301,This fit as if I was some Maury show guest trying to determine who my child's father was.,1.0
302,Definitely not true to size.,1.0
303,I normally wear a small/medium and ordered a large in this and it is so tiny it fits my 10 year old daughter.,1.0
304,this was the most horrible dress I have ever ordered online.,-1.0
305,"Cheaply made, poorly fit.",3.0
306,I actually laughed out loud when I tried it on.,-1.0
307,It looked like sheer see through rags hanging around.,-1.0
308,"It shipped from China, so when I tried to return it she suggested I just keep it and she send me part of my money back.. again Ridiculous!",-1.0
309,"Especially since the address that this supposedly returned to was on Forest Lane in Dallas Texas, which is 5 blocks from my job!",-1.0
310,"But I drove by and was unable to locate a store front/office space at the listed address, very shady indeed.",-1.0
311,It was too small.,1.0
312,"I just got my dress today and it looks nothing like the picture or description, it's a one shoulder strap dress with frills only toward one direction.",3.0
313,The worst part is that the pictures and description say it is lace up but it has a side zipper poorly attatched.,3.0
314,"If you're wanting a safe bridesmaid dress option, please do not buy this dress.",-1.0
315,"First of all, I ordered control-top and got support.",-1.0
316,"Second, they are extremely tight and damn near impossible to get on and then when I do finally get them on they are extremely, excruciatingly uncomfortable.",1.0
317,"Not flowey like photo, stiff lace.",3.0
318,Asked for refund and not nothing bc not prime.,-1.0
319,Bought the dress for myself.,-1.0
320,I am 5'2 @ 145 pounds.,-1.0
321,Still too small for my 12 year old daughter.,1.0
322,Horrible fabric and cheaply made.,3.0
323,I was really unhappy with the sweater...it was not fitted as I expected.,1.0
324,It also had a bad smell and seemed used not new.,3.0
325,"It says 100% cotton, it was not cotton at all but 100% lycra.",3.0
326,"My daughter is a 5 year old japanese girl, so we ordered a 5/6T, to try to order it larger than her.",-1.0
327,This item would tightly fit for a four year old.,1.0
328,"It was a weird, tight, reflective piece of clothing, and not the cotton t-shirt we paid for.",3.0
329,A full two sizes too small and not the listed material.,1.0
330,And why on earth of all the things we ordered for christmas did this come last of all?,-1.0
331,We can see on the label it came directly from China to Japan in a plastic pouch (no box even).,0.0
332,"The items we ordered from America all got here sooner, some ordered as late as a week ago.",0.0
334,As unsatisfied as a customer can get.,-1.0
335,Looks nothing like the photo.,3.0
336,Unbelievably cheap shiny material with dots that are more blueish gray blotches of ink than polka dots.,3.0
337,I cannot wear it in public.,-1.0
338,Resembles halloween costume material,-1.0
339,"Too small, quality not good",1.0
340,The baseball looks like a blob.,-1.0
341,This is not the item in the picture.,3.0
342,"I knew it came from China but I thought I was buying an African print, it looks like a Kimono shirt.",-1.0
343,I found a better version at the local hair store!,-1.0
344,And I even went by the sizing chart.,-1.0
345,I understand this was a cheap price but does not fit well and falling apart.,1.0
346,No allowance for normal shoulders or hips.,3.0
347,Gave it to my 10 yr old.,-1.0
348,"I ordered this shirt for a second time, because the first was great quality.",3.0
349,This second shirt was not the same quality printing or shirt.,3.0
350,The shirt & the print are terribly faded.,3.0
351,"My son washed it, so I didn't send it back but he'll never wear it.",-1.0
352,Six XL so small I gave them to my 10 year old daughter,1.0
353,I bought a xl and I usually wear a large and it still didn't fit.,1.0
354,It fit my 8 year old daughter perfectly.,1.0
355,This item broke within 10 minutes of me wearing it.,3.0
356,Luckily it fell off  in my car.,-1.0
357,Smaller fit was hoping for higher quality fabric.,3.0
358,Would not order again.,-1.0
359,The fit is on the small side around the shoulders and the fabric is horrible- cheap and transparent.,1.0
360,Not soft for babies.,3.0
361,Shirt comes with holes in it but it's part of the 'design' but looks rugged.,3.0
362,Short are hard material.,3.0
363,I do not recommend.,-1.0
364,"Looks vute but once received it actually looked more like a bowling bag very minimal space, pockets, or zips for such a lrg bag  Also, it had a strange odor?!",3.0
365,I bought a four pack and only received 2.,-1.0
366,I would stay away from buying don't waste time.,-1.0
367,I tried to get my other two and it was a hassle trying to get a hold of them.,-1.0
368,Other than that I love the tank tops.,3.0
369,I bought it for my galaxy 6 but was it for the 6 plus!,-1.0
370,"It stated that this was ""true to size"" but it was WAY too small !",1.0
371,Sold it to a friend,-1.0
372,The bag itself is pretty but it is not durable.,3.0
373,The sleeve ripped off within 3 days and the zipper broke the day after that.,3.0
374,Do not buy this backpack.,-1.0
375,It is flimsy and will break down soon.,-1.0
376,This bag is quite possibly the worst quality I have ever seen.,3.0
377,Don't waste your money!,-1.0
378,Super cute but to small.,1.0
379,"Loved the look in the picture but in reality, it's WAYNE too small.",1.0
380,I ordered a medium and it fits like a small.,1.0
381,"To be safe, order 2 sizes up.",1.0
382,Size is larger than said and made extremely cheap,1.0
383,"First of all, the size is way too small.",1.0
384,And not even flexible enough to pull over the head.,3.0
385,"Also, I do not know if the makers of this mask have ever watched The Flash because Zoom is Black, not Grey.",-1.0
386,Cheap low quality fabric,3.0
387,"Material not the greatest, no happy, gave away.",3.0
388,"Bought a 2x, two sizes bigger than I am for safety sake, STILL about a size too small.",1.0
389,Not just in the waist but in the legs.,1.0
390,"I feel like allowance for size, in respect to plus sized items, there must be a thought that our legs aren't stick thin and waists/hips aren't the only thing large in width.",1.0
391,I'm very disappointed with my purchase and warn you lovely ladies that the fit is small and cuts off circulation to your ankles if you manage to tolerate the squeeze.,1.0
392,"Best of luck, dears.",-1.0
393,Wasn't what I expected.,-1.0
394,The label doesn't even say Joe's.,-1.0
395,I have a Joe's sweater and love it.,-1.0
396,It's so soft and fits perfect so I wanted another in a different color.,3.0
397,I was very dissatisfied.,3.0
398,If I could write no stars I would.,-1.0
399,Style is cute but sole of the shoes fell off after one day.,3.0
400,The knit on the pants unraveled and created a huge horizontal slit/run on the thigh of the pants after wearing the just once to leave the hospital.,3.0
401,Having a newborn and all I missed the return window.,-1.0
402,I threw $100 down the drain and I'm so disappointed.,-1.0
403,Won't buy again cheep made,1.0
404,"Not well made, tears easily",-1.0
405,The fit is awkward and weird.,3.0
406,They have no shape to them and are very big.,1.0
407,"I already picked the largest size which is XXL,which looks like will fit me according to size chart, I usually wear Medium, still it is smaller and shorter.",1.0
408,it would not cover my boobs properly and it is not stretchable.,3.0
409,i tried to return it but it will cost me twice the price of this item to ship it back.,0.0
410,Didn't know I was only getting candles.,-1.0
411,Rip when trying on,-1.0
412,The belt was shorter than advertised.,1.0
413,The buckle would not close on the belt.,3.0
414,I like the belt style.,1.0
415,But it won't zip past the lace the zipper is to weak for the material,3.0
416,Not a cute dress at all in person!,3.0
417,Very upset the item showed up dirty!,3.0
418,Bought them for a gift an didn't have time to replace.,-1.0
419,"The hardware that holds the strap, broke the very 1st time I used it, to make matters worse I keep trying to get ahold of the company and ask them if we can just exchange.",3.0
420,No one ever replied from the company.,-1.0
421,So I LOVED THE LOOK OF THIS BAG SO MUCH!!,-1.0
422,"However, the company has Terrible customer service, and must have used sub standard hardware.",-1.0
423,"I REALLY was so excited to get this in the mail...I'm a purse and bag collector, my husband calls it an addiction  so this bag got me excited when I saw it on another web site, plus on TV.",-1.0
424,"It's great looking, just cheaply made, I'm so sad to say that...I hardly give such a low rating but their customer service and hardware deserves it.",3.0
425,I bought these mainly for the blavk hoops.,-1.0
426,So ive worn the black hoops about 2 weeks.,-1.0
427,I now notice the black is coming off of the earrings.,-1.0
428,"They ran very small, not satisfied!",1.0
429,I ordered one size bigger than mine and it wap way to large.,1.0
430,Just stay with your size.,1.0
431,The print on the has nothing to do with the one on the picture.,3.0
432,On the picture is a delicate baroque design and the one I received is thick and doesn't even look like flowers.,3.0
433,The black waist line is just an elastic band.,-1.0
434,Not worth the $20 some dollars.,-1.0
435,Oh and to top it off it had a slit in the back...,3.0
436,"Cute but these shoes run way too small ,also the usb to recharge is right on the ankle part of the shoe super uncomfortable ,my son only tried them on and didn't wear them once because is too small ,bought size 12 but it was more like a 10 1/2",1.0
437,Do not believe that if you are a DD cup that this product will help....it won't.,1.0
438,The picture is misleading....it looks bluish in color but really it is cheaply made custom jewelry.,3.0
439,The length of the dress went to my butt so it was more like a shirt.,1.0
440,Because the top was way too small,1.0
441,The shirt smelled like burlap despite washing it three times.,3.0
442,This bracelet was damaged when I received it.,3.0
443,It looks cute but is very poorly made.,3.0
444,Smaller than what I expected do not like item.,1.0
445,"beautiful suit, WAY TOO SMALL.",1.0
446,NOT HAPPY AT ALL,-1.0
447,Very disappointed the zipper was broke on it smh,3.0
448,"Super soft, fit well, look great, fantastic price.",3.0
449,After the 1st wash i noticed 2 holes in the fabric.,3.0
450,They were probably there before i wore them but didn't notice.,-1.0
451,There is absolutely no way that this is a large.,1.0
452,It was a small.,1.0
453,This is absolute nothing like the picture.,3.0
454,It is made out of a pleather like material.,3.0
455,It was definitely false advertising.,-1.0
456,Not even worth one star.,-1.0
457,Doesn't look like photo.,3.0
458,Fabric is rough and cheap.,3.0
459,Dress size does not match US  women's clothes sizes,1.0
460,"the belt had a very strong, bad smell to it and I immediately threw it into the trash and took the trash out.",3.0
461,The item that I received was not that as the picture.,3.0
462,I got an ugly cheap halter looking top and to make matters worse it is huge.totally disappointed.,3.0
463,Even if the item cost $10 or $100 the principal is that I should get what the picture says you are buying.,3.0
464,Nothing like the picture the material is thin and cheap looking when the dress on the model looks lined and  elegant.,3.0
465,I can see right through this dress.,-1.0
466,Would have been a nice top otherwise.,3.0
467,I would probably order your size or a size small.,1.0
468,DO NOT order bigger.,1.0
469,Was to short in the middle of the dress :(,1.0
470,sent back - poor quality,3.0
471,Would not order again and would not recommend to anyone.,-1.0
472,the  item SMELLS of chemicals - I thought if I washed it the odor would disappear - it does NOT - I bought it for an upcoming trip - by the time I returned and started the return process - I had missed the return deadline.,3.0
473,I washed it AGAIN hoping the smell would go away.,-1.0
474,I don't mind spending money for a quality product however these socks are NOT good quality.,3.0
475,First of all when I put the socks on they only came over the ankles about 5 or 5 inches.,1.0
476,Very short compared to standard socks.,1.0
477,secondly by the time I got to work in the morning the socks would not stay up I had to use rubber bands to keep them up..... Do not waste your money!,3.0
478,"An aweful, unflattering clownish sort of design.",3.0
479,"These are not ""active"" leggings they are more of the fashion type of legging you would wear a tunic with or under a dress",-1.0
480,I really don't like it.,-1.0
481,It feels like a Halloween costume to me.,-1.0
482,Maybe it because I'm a plus size girl (14-16).,-1.0
483,It shows all your curves even when I had on a shaper.,-1.0
484,"It's a very thin-like material, almost see-through like.",3.0
485,Do NOT purchase this shirt!,-1.0
486,Just like many others I received a black shirt.,-1.0
487,"Printing on the front VERY small, NO patches on the sleeves.",3.0
488,Back of the shirt was BLANK.,3.0
489,"Not a ""Roots of Fight"" shirt.",-1.0
490,NOT sun faded like the description says!,-1.0
491,Just a generic black t-shirt with cheap small writing on the front.,-1.0
492,I returned it with the return label they provided over a month ago.,-1.0
493,paper wallet the clip or flap isn't even magnetic.,3.0
494,It holds one bill.,-1.0
495,Cheap material turns this sexy jewelry into an undesirable product.,3.0
496,I was so excited to get these labels and used them on my child's shoes and boots right away.,-1.0
497,I followed the instructions but the labels started moving around in the shoes on the very first day.,-1.0
498,The labels were also very easy to come off.,-1.0
499,I actually had better luck in the past using the Avery no-iron clothes labels when in a pinch for a solution to label shoes on their inside.,-1.0
500,They did not fit over my glasses like they were supposed to.,3.0
